ID,X,Y
0,542707.9491525424,635612.6949152543
1,542535.0,635584.5454545454
2,542874.4285714285,635558.0285714286
3,542612.4782608695,635346.4782608695
4,542882.0625,635513.59375
5,542769.7368421053,635214.6315789474
6,542777.1538461539,635173.8205128205
7,542675.4927536232,635155.9565217391
8,542701.5757575758,635649.303030303
9,542687.1818181818,635129.5454545454
10,542866.7222222222,635597.1111111111
11,542519.96,635624.6
12,542693.9696969697,635688.4848484849
13,542599.2352941176,635387.2352941176
14,542763.731707317,635252.3170731707
15,542845.5714285715,635023.2857142857
16,542759.6451612903,635291.4838709678
17,542672.4,635132.6
18,542752.4237288135,635332.186440678
19,542858.85,635638.1
20,542663.0425531915,635197.5957446808
21,542586.3076923077,635423.7692307692
22,542852.7714285714,635674.0857142857
23,542507.7272727273,635657.4545454546
24,542929.5555555555,635520.3333333334
25,542846.7297297297,635714.4054054054
26,542744.9649122807,635368.649122807
27,542648.914893617,635235.2553191489
28,542822.8285714285,635177.9714285714
29,542574.9130434783,635466.1304347826
30,542739.9846153846,635409.8
31,542915.3225806452,635310.5483870967
32,542497.8421052631,635698.7894736842
33,542840.5,635749.4
34,542727.2962962963,635004.6296296297
35,542907.7,635350.05
36,542755.4615384615,635698.3846153846
37,542636.5294117647,635273.0392156863
38,542733.92,635448.36
39,542560.1111111111,635506.6666666666
40,542727.9206349206,635492.1428571428
41,542901.1142857143,635394.4285714285
42,542809.1935483871,635295.7096774194
43,542721.380952381,635532.9682539683
44,542738.4545454546,635695.0
45,542893.9565217391,635435.9130434783
46,542623.9565217391,635310.9565217391
47,542887.8333333334,635473.1111111111
48,542547.2,635544.1
49,542958.1428571428,635043.7619047619
50,542714.4642857143,635572.0714285715
51,542575.0,635446.0
52,542621.0,635350.0
