ID,X,Y
0,536487.0,634573.0
0,536487.0,634575.0
0,536489.0,634519.0
0,536489.0,634551.0
0,536489.0,634553.0
0,536489.0,634555.0
0,536489.0,634573.0
0,536489.0,634575.0
0,536491.0,634517.0
0,536491.0,634519.0
0,536491.0,634521.0
0,536491.0,634551.0
0,536491.0,634553.0
0,536491.0,634555.0
0,536491.0,634573.0
0,536491.0,634575.0
0,536493.0,634437.0
0,536493.0,634439.0
0,536493.0,634441.0
0,536493.0,634443.0
0,536493.0,634445.0
0,536493.0,634447.0
0,536493.0,634517.0
0,536493.0,634519.0
0,536493.0,634521.0
0,536493.0,634553.0
0,536493.0,634555.0
0,536493.0,634573.0
0,536493.0,634575.0
0,536495.0,634357.0
0,536495.0,634437.0
0,536495.0,634439.0
0,536495.0,634441.0
0,536495.0,634443.0
0,536495.0,634445.0
0,536495.0,634447.0
0,536495.0,634517.0
0,536495.0,634519.0
0,536495.0,634521.0
0,536495.0,634553.0
0,536495.0,634555.0
0,536495.0,634573.0
0,536495.0,634575.0
0,536497.0,634305.0
0,536497.0,634329.0
0,536497.0,634331.0
0,536497.0,634355.0
0,536497.0,634357.0
0,536497.0,634437.0
0,536497.0,634439.0
0,536497.0,634441.0
0,536497.0,634443.0
0,536497.0,634445.0
0,536497.0,634447.0
0,536497.0,634517.0
0,536497.0,634519.0
0,536497.0,634521.0
0,536497.0,634553.0
0,536497.0,634555.0
0,536497.0,634573.0
0,536497.0,634575.0
0,536499.0,634275.0
0,536499.0,634277.0
0,536499.0,634303.0
0,536499.0,634305.0
0,536499.0,634329.0
0,536499.0,634331.0
0,536499.0,634355.0
0,536499.0,634357.0
0,536499.0,634437.0
0,536499.0,634439.0
0,536499.0,634441.0
0,536499.0,634443.0
0,536499.0,634445.0
0,536499.0,634447.0
0,536499.0,634517.0
0,536499.0,634519.0
0,536499.0,634521.0
0,536499.0,634553.0
0,536499.0,634555.0
0,536499.0,634573.0
0,536499.0,634575.0
0,536501.0,634219.0
0,536501.0,634221.0
0,536501.0,634249.0
0,536501.0,634251.0
0,536501.0,634275.0
0,536501.0,634277.0
0,536501.0,634303.0
0,536501.0,634305.0
0,536501.0,634329.0
0,536501.0,634331.0
0,536501.0,634355.0
0,536501.0,634357.0
0,536501.0,634437.0
0,536501.0,634439.0
0,536501.0,634441.0
0,536501.0,634443.0
0,536501.0,634445.0
0,536501.0,634447.0
0,536501.0,634517.0
0,536501.0,634519.0
0,536501.0,634521.0
0,536501.0,634553.0
0,536501.0,634555.0
0,536501.0,634573.0
0,536501.0,634575.0
0,536503.0,634219.0
0,536503.0,634221.0
0,536503.0,634249.0
0,536503.0,634251.0
0,536503.0,634275.0
0,536503.0,634277.0
0,536503.0,634303.0
0,536503.0,634305.0
0,536503.0,634329.0
0,536503.0,634331.0
0,536503.0,634355.0
0,536503.0,634357.0
0,536503.0,634437.0
0,536503.0,634439.0
0,536503.0,634441.0
0,536503.0,634443.0
0,536503.0,634445.0
0,536503.0,634447.0
0,536503.0,634449.0
0,536503.0,634517.0
0,536503.0,634519.0
0,536503.0,634521.0
0,536503.0,634553.0
0,536503.0,634555.0
0,536503.0,634573.0
0,536503.0,634575.0
0,536505.0,634219.0
0,536505.0,634221.0
0,536505.0,634249.0
0,536505.0,634251.0
0,536505.0,634275.0
0,536505.0,634277.0
0,536505.0,634303.0
0,536505.0,634305.0
0,536505.0,634329.0
0,536505.0,634331.0
0,536505.0,634355.0
0,536505.0,634357.0
0,536505.0,634437.0
0,536505.0,634439.0
0,536505.0,634441.0
0,536505.0,634443.0
0,536505.0,634445.0
0,536505.0,634447.0
0,536505.0,634449.0
0,536505.0,634517.0
0,536505.0,634519.0
0,536505.0,634521.0
0,536505.0,634553.0
0,536505.0,634555.0
0,536505.0,634557.0
0,536505.0,634573.0
0,536505.0,634575.0
0,536507.0,634187.0
0,536507.0,634189.0
0,536507.0,634219.0
0,536507.0,634221.0
0,536507.0,634249.0
0,536507.0,634251.0
0,536507.0,634275.0
0,536507.0,634277.0
0,536507.0,634303.0
0,536507.0,634305.0
0,536507.0,634329.0
0,536507.0,634331.0
0,536507.0,634355.0
0,536507.0,634357.0
0,536507.0,634437.0
0,536507.0,634439.0
0,536507.0,634441.0
0,536507.0,634443.0
0,536507.0,634445.0
0,536507.0,634447.0
0,536507.0,634449.0
0,536507.0,634517.0
0,536507.0,634519.0
0,536507.0,634521.0
0,536507.0,634553.0
0,536507.0,634555.0
0,536507.0,634557.0
0,536507.0,634559.0
0,536507.0,634561.0
0,536507.0,634563.0
0,536507.0,634565.0
0,536507.0,634567.0
0,536507.0,634569.0
0,536507.0,634571.0
0,536507.0,634573.0
0,536507.0,634575.0
0,536509.0,634181.0
0,536509.0,634183.0
0,536509.0,634185.0
0,536509.0,634187.0
0,536509.0,634189.0
0,536509.0,634191.0
0,536509.0,634193.0
0,536509.0,634195.0
0,536509.0,634197.0
0,536509.0,634199.0
0,536509.0,634201.0
0,536509.0,634203.0
0,536509.0,634205.0
0,536509.0,634207.0
0,536509.0,634209.0
0,536509.0,634211.0
0,536509.0,634213.0
0,536509.0,634215.0
0,536509.0,634217.0
0,536509.0,634219.0
0,536509.0,634221.0
0,536509.0,634223.0
0,536509.0,634233.0
0,536509.0,634235.0
0,536509.0,634237.0
0,536509.0,634239.0
0,536509.0,634241.0
0,536509.0,634243.0
0,536509.0,634245.0
0,536509.0,634247.0
0,536509.0,634249.0
0,536509.0,634251.0
0,536509.0,634275.0
0,536509.0,634277.0
0,536509.0,634303.0
0,536509.0,634305.0
0,536509.0,634329.0
0,536509.0,634331.0
0,536509.0,634355.0
0,536509.0,634357.0
0,536509.0,634437.0
0,536509.0,634439.0
0,536509.0,634441.0
0,536509.0,634443.0
0,536509.0,634445.0
0,536509.0,634447.0
0,536509.0,634449.0
0,536509.0,634517.0
0,536509.0,634519.0
0,536509.0,634521.0
0,536509.0,634553.0
0,536509.0,634555.0
0,536509.0,634557.0
0,536509.0,634559.0
0,536509.0,634561.0
0,536509.0,634563.0
0,536509.0,634565.0
0,536509.0,634567.0
0,536509.0,634569.0
0,536509.0,634571.0
0,536509.0,634573.0
0,536509.0,634575.0
0,536511.0,634175.0
0,536511.0,634177.0
0,536511.0,634179.0
0,536511.0,634181.0
0,536511.0,634183.0
0,536511.0,634185.0
0,536511.0,634187.0
0,536511.0,634189.0
0,536511.0,634191.0
0,536511.0,634193.0
0,536511.0,634195.0
0,536511.0,634197.0
0,536511.0,634199.0
0,536511.0,634201.0
0,536511.0,634203.0
0,536511.0,634205.0
0,536511.0,634207.0
0,536511.0,634209.0
0,536511.0,634211.0
0,536511.0,634213.0
0,536511.0,634215.0
0,536511.0,634217.0
0,536511.0,634219.0
0,536511.0,634221.0
0,536511.0,634223.0
0,536511.0,634225.0
0,536511.0,634227.0
0,536511.0,634229.0
0,536511.0,634231.0
0,536511.0,634233.0
0,536511.0,634235.0
0,536511.0,634237.0
0,536511.0,634239.0
0,536511.0,634241.0
0,536511.0,634243.0
0,536511.0,634245.0
0,536511.0,634247.0
0,536511.0,634249.0
0,536511.0,634251.0
0,536511.0,634275.0
0,536511.0,634277.0
0,536511.0,634303.0
0,536511.0,634305.0
0,536511.0,634329.0
0,536511.0,634331.0
0,536511.0,634355.0
0,536511.0,634357.0
0,536511.0,634437.0
0,536511.0,634439.0
0,536511.0,634441.0
0,536511.0,634443.0
0,536511.0,634445.0
0,536511.0,634447.0
0,536511.0,634449.0
0,536511.0,634517.0
0,536511.0,634519.0
0,536511.0,634521.0
0,536511.0,634553.0
0,536511.0,634555.0
0,536511.0,634573.0
0,536511.0,634575.0
0,536513.0,634175.0
0,536513.0,634177.0
0,536513.0,634179.0
0,536513.0,634181.0
0,536513.0,634183.0
0,536513.0,634185.0
0,536513.0,634187.0
0,536513.0,634189.0
0,536513.0,634191.0
0,536513.0,634193.0
0,536513.0,634195.0
0,536513.0,634197.0
0,536513.0,634199.0
0,536513.0,634201.0
0,536513.0,634203.0
0,536513.0,634205.0
0,536513.0,634207.0
0,536513.0,634209.0
0,536513.0,634211.0
0,536513.0,634213.0
0,536513.0,634215.0
0,536513.0,634217.0
0,536513.0,634219.0
0,536513.0,634221.0
0,536513.0,634223.0
0,536513.0,634225.0
0,536513.0,634249.0
